ADDRESS;CITY;ENTITY_ID;LATITUDE;LOADER_TYPE;LONGITUDE;NUMBER_OF_CHARGING_POINTS;OPERATING_COMPANY;PLUG_TYPES_1;PLUG_TYPES_2;PLUG_TYPES_3;PLUG_TYPES_4;POWER_1_KW;POWER_2_KW;POWER_3_KW;POWER_4_KW;START_UP_DATE;ZIP_CODE
Friedrichshafener Str. 63;Langenargen;6796;47.602506;Normalladeeinrichtung;9.539621;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;23.06.15;88085
Bahnhofstr. 24;Eriskirch;6797;47.6284;Normalladeeinrichtung;9.527039;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;12.06.14;88097
Schulstr. 3;Neukirch;6798;47.65768;Normalladeeinrichtung;9.70248;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;26.10.15;88099
Zwanzigerstraße 8;Lindau;6799;47.5481736;Normalladeeinrichtung;9.6861859;1;Stadtwerke Lindau (B) GmbH & Co. KG;AC Steckdose Typ 2;;;;22.0;0.0;0.0;0.0;18.08.17;88131
Karl-Bever-Platz;Lindau;6800;47.550734;Normalladeeinrichtung;9.691773;2;Stadtwerke Lindau (B) GmbH & Co. KG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;19.12.17;88131
Karl-Bever-Platz;Lindau;6801;47.550734;Normalladeeinrichtung;9.691773;2;Stadtwerke Lindau (B) GmbH & Co. KG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;19.12.17;88131
Josephine-Hirner-Str. 3;Lindau;6802;47.548677;Normalladeeinrichtung;9.726283;2;Stadtwerke Lindau (B) GmbH & Co. KG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;30.08.18;88131
Museumsplatz 1;Lindenberg;6803;47.604876;Normalladeeinrichtung;9.890779;2;Vorarlberger Kraftwerke AG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;31.03.15;88161
Sedanstraße 19;Lindenberg;6804;47.602727;Normalladeeinrichtung;9.883779;2;Vorarlberger Kraftwerke AG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;01.01.13;88161
Hauptstraße 82;Lindenberg;6805;47.599855;Normalladeeinrichtung;9.883789;1;Vorarlberger Kraftwerke AG;AC Steckdose Typ 2;;;;22.0;0.0;0.0;0.0;29.09.17;88161
Schillerweg 5;Weiler-Simmerberg;6806;47.358;Normalladeeinrichtung;9.564;2;Elektro Mühlbauer GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;17.10.18;88171
Schillerweg 5;Weiler-Simmerberg;6807;47.358;Normalladeeinrichtung;9.564;2;Elektro Mühlbauer GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;17.10.18;88171
Schillerweg 5;Weiler-Simmerberg;6808;47.358;Normalladeeinrichtung;9.564;2;Elektro Mühlbauer GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;17.10.18;88171
Bahnhofstraße 8;Heimenkirch;6809;47.629018;Normalladeeinrichtung;9.902555;2;Vorarlberger Kraftwerke AG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;01.10.17;88178
Marktstr. 30;Ravensburg;6810;47.77991;Normalladeeinrichtung;9.61607;2;Technische Werke Schussental GmbH & Co. KG;AC Steckdose Typ 2;AC Schuko;;;22.0;3.7;0.0;0.0;11.04.15;88212
Bahnhofplatz 14/1;Ravensburg;6811;47.78327;Normalladeeinrichtung;9.6064;2;Technische Werke Schussental GmbH & Co. KG;AC Steckdose Typ 2;AC Schuko;;;22.0;3.7;0.0;0.0;11.04.15;88214
Weißenauerstraße 15;Ravensburg;6812;47.7676637;Schnellladeeinrichtung;9.6044367;2;Kaufland Vertrieb 7 GmbH & Co. KG;AC Kupplung Typ 2;DC Kupplung Combo, DC CHAdeMO;;;43.0;50.0;0.0;0.0;28.02.18;88214
Zeppelinstraße 14-16;Wangen;6813;47.68966;Normalladeeinrichtung;9.82798;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;29.03.18;88239
Liebigstr. 1;Wangen;6814;47.683569;Schnellladeeinrichtung;9.827778;3;EnBW Energie Baden-Württemberg;AC Kupplung Typ 2;DC Kupplung Combo, DC CHAdeMO;DC Kupplung Combo;;43.0;50.0;50.0;0.0;13.11.18;88239
Am Waltersbühl 3;Wangen;6815;47.69787;Normalladeeinrichtung;9.82472;2;Autohaus Unterberger GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;27.08.18;88239
Am Waltersbühl 3;Wangen;6816;47.69787;Normalladeeinrichtung;9.82472;2;Autohaus Unterberger GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;14.10.18;88239
Bahnhofstraße 5;Wangen;6817;47.68667;Normalladeeinrichtung;9.83158;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;17.08.18;88239
Spitalstraße 16;Wangen;6818;47.68657;Normalladeeinrichtung;9.83504;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;17.08.18;88239
Gablerstr. 1;Weingarten;6819;47.80794;Normalladeeinrichtung;9.63923;2;Technische Werke Schussental GmbH & Co. KG;AC Steckdose Typ 2;AC Schuko;;;22.0;3.7;0.0;0.0;25.08.15;88250
Riedhauser Str. 9;Wilhelmsdorf;6820;47.868838;Normalladeeinrichtung;9.42497;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;21.01.16;88271
Nadlerstr. 3;Leutkirch;6821;47.826494;Normalladeeinrichtung;10.014622;2;Autohaus Mayer & Kloos GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;27.08.18;88299
